,Unnamed: 0,LocationID,February,March,April,May,June,July,August,September,Octorber,Novermber,December,January(2021),February(2021),OBJECTID,zone,borough,RatecodeID,PULocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
18,18,116,6188,-2588,-2870,362,27,226,-37,-30,166,-163,-197,3,-209,116,Hamilton Heights,Manhattan,1.1066400541754287,116.0,1.1986313575934704,3.102560446940993,13.48361826840898,0.4213960801074612,0.41908352668213456,1.1603849676395217,0.20270576382952532,,0.2934515813896709,16.389000488455064,1.539651423887087,1.0285133834693658,0.5239334212495991
19,212,120,30,8,-35,12,2,13,-2,2,-11,-7,6,-4,-1,120,Highbridge Park,Manhattan,1.8072289156626506,120.0,1.1526104417670682,7.73508250825082,28.573234323432334,0.3316831683168317,0.3316831683168317,1.37970297029703,1.5543894389438953,,0.2920792079207905,32.72333333333329,1.4417670682730923,1.1967871485943775,0.3092369477911647
20,58,127,1176,-517,-528,104,60,25,53,-35,-24,25,-75,12,-15,127,Inwood,Manhattan,1.1729490022172948,127.0,1.1457367466236645,31.786434199007893,19.987693317770486,0.47603589145024805,0.35570469798657717,1.3010679894951886,0.5131383133936335,,0.2910709074992397,23.17258826962309,1.5581535980649062,1.039508163676678,0.28376335416246723
21,177,128,103,-50,-48,4,19,16,-11,4,1,-4,9,-3,-1,128,Inwood Hill Park,Manhattan,1.1885521885521886,128.0,1.0404040404040404,6.386286149162862,25.652465753424664,0.6263318112633182,0.23820395738203956,1.447321156773212,0.8969254185692547,,0.2867579908675821,29.376925418569176,1.4006734006734007,1.0572390572390573,0.25925925925925924
22,142,137,278,-147,-106,29,10,32,-18,20,9,-14,-19,31,-23,137,Kips Bay,Manhattan,2.176470588235294,137.0,1.1764705882352942,9.310329920364042,31.278680318543966,1.3312002275312855,0.06456200227531285,1.0331854379977248,2.3805688282138506,,0.30000000000000643,36.43629124004509,1.2941176470588236,1.0,0.0
23,140,140,301,-180,-105,31,26,74,-17,9,24,-27,-25,34,1,140,Lenox Hill East,Manhattan,1.975609756097561,140.0,1.0975609756097562,33.53964953271023,33.76202336448603,1.2455607476635513,0.04813084112149533,1.2149906542056075,2.114565420560723,,0.2991588785046702,38.69321495327112,1.2926829268292683,1.024390243902439,0.1951219512195122
24,181,141,97,-68,-25,10,12,-1,11,11,-3,-10,19,-15,6,141,Lenox Hill West,Manhattan,1.0,141.0,1.0,7.91311450381679,30.50348091603056,1.3099236641221375,0.03740458015267176,1.173648854961832,1.2254809160305349,,0.30000000000000265,34.57268702290068,1.0,1.0,0.22727272727272727
25,202,142,44,-20,-18,4,9,8,-3,-1,6,-11,-3,6,9,142,Lincoln Square East,Manhattan,2.3333333333333335,142.0,1.4166666666666667,83.61287292817678,35.34895027624308,1.1560773480662982,0.04281767955801105,1.2483701657458564,1.4480662983425425,,0.29999999999999816,39.573287292817696,1.1666666666666667,1.0,0.4166666666666667
26,198,143,46,-33,-7,-3,4,7,-1,3,2,2,-4,3,-5,143,Lincoln Square West,Manhattan,1.4,143.0,1.0,7.437643097643096,29.795454545454533,1.4141414141414141,0.06228956228956229,1.0185185185185186,0.923771043771044,,0.2999999999999984,33.52343434343434,1.3,1.0,0.0
27,216,144,28,-13,-13,4,-2,12,-5,-1,4,1,-8,4,-1,144,Little Italy/NoLiTa,Manhattan,1.0,144.0,1.0,8.356871794871788,32.8548717948718,1.1705128205128206,0.11846153846153847,1.2256410256410257,0.6825641025641027,,0.29692307692307596,36.36307692307688,1.2222222222222223,1.0,0.6111111111111112
28,210,148,35,-18,-16,0,6,1,3,-5,5,-4,-4,7,-1,148,Lower East Side,Manhattan,1.0,148.0,1.0,8.420210526315788,33.17226315789473,1.525,0.05263157894736842,0.7236842105263158,0.8642631578947371,,0.29999999999999905,36.63784210526315,1.0,1.0,0.0
29,162,151,169,-97,-58,2,27,19,12,-16,11,-1,-6,17,4,151,Manhattan Valley,Manhattan,1.0919540229885059,151.0,1.1379310344827587,6.362266288951843,26.469820585457896,1.141643059490085,0.0826251180358829,1.145939565627951,1.0347119924457027,,0.2960339943342834,30.197544853635492,1.1149425287356323,1.0,0.05747126436781609
30,26,152,3085,-1338,-1413,194,-1,97,28,-56,65,-19,-67,5,-110,152,Manhattanville,Manhattan,1.1075537075537076,152.0,1.2019404019404019,2.8881654209648486,12.66000432392365,0.4119772685156588,0.4338748532954475,1.0076014577799697,0.21463771696831035,,0.293217616900452,15.379371177957728,1.5641718641718643,1.03000693000693,0.4888600138600139
31,156,153,198,-81,-91,17,4,37,9,19,-7,-8,-6,-7,-3,153,Marble Hill,Manhattan,1.1543859649122807,153.0,1.2140350877192982,74.21489138051855,22.407771548703693,0.5951296426068675,0.20707778556412054,1.1960476524176593,0.456720392431675,,0.29011913104415554,25.202410651716786,1.619298245614035,1.043859649122807,0.07719298245614035
32,190,161,58,-38,-15,3,3,12,-1,2,3,-10,-7,14,0,161,Midtown Center,Manhattan,1.0,161.0,1.0,8.650366197183098,32.892422535211274,1.2450704225352112,0.05211267605633803,1.1232394366197183,1.7211830985915502,,0.29999999999999816,37.34107042253527,1.0769230769230769,1.0,0.19230769230769232
33,201,162,44,-18,-22,5,1,4,2,15,-6,-4,2,-4,0,162,Midtown East,Manhattan,1.0,162.0,1.0,9.381785714285718,33.52342261904763,1.1540178571428572,0.06398809523809523,1.253779761904762,2.033839285714287,,0.2999999999999982,38.329047619047614,1.0,1.0,0.0
34,3,166,16673,-8635,-7172,116,478,315,79,318,59,-94,-281,77,-316,166,Morningside Heights,Manhattan,1.0326583184257603,166.0,1.209087656529517,3.233298243196706,11.32814371339992,0.5073923527385463,0.4764657251119532,1.5243215983465774,0.16553634171547052,,0.2974454013085914,15.010100861188882,1.3980250447227192,1.0097030411449015,0.8611985688729875
35,170,170,141,-71,-62,16,11,34,-12,9,27,-20,-2,4,-10,170,Murray Hill,Manhattan,1.5714285714285714,170.0,1.0,9.89897607655502,32.61272727272728,1.1605263157894736,0.049760765550239235,1.3,2.9421148325358533,,0.3000000000000059,38.37465071770325,1.1428571428571428,1.0,0.17857142857142858
36,209,186,35,-13,-21,3,-2,11,-4,2,4,-1,-7,4,-2,186,Penn Station/Madison Sq West,Manhattan,2.5,186.0,1.25,9.797570093457939,34.11714953271027,1.4310747663551402,0.07476635514018691,0.9380841121495327,2.1410747663551417,,0.2999999999999988,39.01126168224302,1.375,1.0,0.0
37,214,194,30,-14,-4,1,-7,11,-6,4,-4,-3,8,-3,-6,194,Randalls Island,Manhattan,1.9268292682926829,194.0,1.1097560975609757,7.738281938325989,27.222202643171777,0.7819383259911894,0.17180616740088106,1.12295154185022,5.365110132158578,,0.2841409691629945,35.09506607929519,1.3780487804878048,1.2195121951219512,0.3353658536585366
38,191,202,55,-20,-30,7,14,-9,2,-1,2,-1,3,-1,3,202,Roosevelt Island,Manhattan,1.3766233766233766,202.0,1.2727272727272727,6.038036649214658,24.758141361256566,1.0844240837696335,0.13350785340314136,1.0312565445026176,1.0237172774869117,,0.28821989528795633,28.4561780104712,1.4415584415584415,1.12987012987013,0.32142857142857145
39,207,224,36,-24,-8,3,1,2,8,-2,-3,3,-1,-6,6,224,Stuy Town/Peter Cooper Village,Manhattan,1.5714285714285714,224.0,1.5714285714285714,8.041611570247932,29.609669421487624,1.1704545454545454,0.05165289256198347,1.2576446280991735,1.526776859504133,,0.2999999999999986,33.92756198347109,1.1428571428571428,1.0,0.0
40,193,229,51,-24,-23,0,2,10,1,17,-15,-7,5,6,-6,229,Sutton Place/Turtle Bay North,Manhattan,1.5,229.0,2.0,7.901073619631899,30.051871165644183,1.3006134969325154,0.06748466257668712,1.0684969325153373,1.8553374233128845,,0.29907975460122527,34.65822085889569,1.125,1.0,0.625
41,153,231,213,-120,-89,11,2,11,-1,5,4,-10,4,5,-9,231,TriBeCa/Civic Center,Manhattan,1.1666666666666667,231.0,1.0416666666666667,9.837173252279655,37.12212765957453,1.7657041540020264,0.06382978723404255,0.5656028368794326,1.122978723404254,,0.30000000000000554,40.95057750759875,1.0416666666666667,1.0,0.0
42,161,232,176,-82,-84,10,20,16,9,13,4,-21,-7,-8,2,232,Two Bridges/Seward Park,Manhattan,1.1,232.0,1.075,181.70146907216517,29.309845360824802,1.2555841924398625,0.06619415807560138,1.062852233676976,0.9595103092783495,,0.29948453608248066,32.97005154639174,1.125,1.0,0.13125
43,192,233,53,-30,-20,0,5,20,-7,4,-6,4,-6,-3,5,233,UN/Turtle Bay South,Manhattan,2.142857142857143,233.0,0.8571428571428571,82.84482857142855,33.6053428571429,1.2571428571428571,0.041428571428571426,1.1288285714285713,2.488028571428573,,0.29999999999999816,38.8413428571429,1.1428571428571428,1.2857142857142858,0.35714285714285715
44,206,234,39,-19,-19,7,6,23,-12,-1,-3,-7,11,3,-8,234,Union Sq,Manhattan,1.0,234.0,1.0,8.562710280373832,31.12461059190035,1.1222741433021808,0.03271028037383177,1.4135514018691588,1.5896261682242998,,0.29999999999999827,35.6181308411215,1.25,1.0,0.625
45,75,236,917,-502,-354,9,44,109,-43,30,19,-43,-2,5,-25,236,Upper East Side North,Manhattan,1.0219143576826197,236.0,1.4168765743073048,3.330269181856728,14.021110640101742,0.5998834251801611,0.42679101314116147,1.761475201356516,0.4513819415006321,,0.2982831708350738,19.087941924544925,1.2561712846347608,1.0040302267002519,1.9564231738035265
46,188,237,69,-31,-31,-2,16,12,-14,13,11,0,-9,1,0,237,Upper East Side South,Manhattan,1.0,237.0,1.0588235294117647,9.21853846153846,34.03776923076928,1.2173076923076922,0.052980769230769234,1.2305961538461538,1.566115384615385,,0.29826923076923106,38.46005769230767,1.1176470588235294,1.0,1.0441176470588236
47,166,238,151,-90,-51,3,20,17,-1,9,14,-20,-8,10,-5,238,Upper West Side North,Manhattan,1.2191780821917808,238.0,1.178082191780822,6.256269757639617,26.106933614330806,1.231822971548999,0.07060063224446786,1.0430979978925183,0.8458798735511067,,0.29968387776607486,29.630052687038965,1.082191780821918,1.0,0.1404109589041096
48,204,239,43,-24,-17,3,5,4,-2,4,-3,11,-12,-2,3,239,Upper West Side South,Manhattan,1.7272727272727273,239.0,1.0909090909090908,8.518274647887324,30.581091549295756,1.2931338028169015,0.0528169014084507,1.0256690140845068,1.2856338028169023,,0.2978873239436604,34.55471830985914,1.0,1.0,0.22727272727272727
49,34,243,2185,-897,-1028,166,36,45,44,-7,57,0,-83,-44,-106,243,Washington Heights North,Manhattan,1.3571099331643235,243.0,1.160981793039871,13.65609841115434,20.051237840467483,0.5181582360570688,0.3314283398184176,1.298025291828793,0.5098427367055728,,0.2865758754864367,23.320511511022445,1.5329569025120995,1.0851578704770684,0.4184719981562572
50,9,244,11041,-4507,-5072,394,178,303,64,91,301,-215,-190,220,0,244,Washington Heights South,Manhattan,1.100300322707008,244.0,1.2905855360107445,8.540786561526794,17.182859651447554,0.5278891392220528,0.43517659532171493,1.9747693989795563,0.3270416142071392,,0.2953382810943631,21.501243456375985,1.4226529127571863,1.023242366020631,0.9575444421645619
51,220,246,14,4,-6,-6,3,1,5,-6,0,1,-3,-3,7,246,West Chelsea/Hudson Yards,Manhattan,3.0,246.0,1.3333333333333333,10.38730538922156,35.50479041916166,0.8398203592814372,0.011976047904191617,1.3930538922155689,2.203113772455091,,0.29640718562874185,40.24916167664671,1.5,1.3333333333333333,0.0
52,205,261,42,-24,-16,0,4,5,-5,7,-4,1,-2,3,-3,261,World Trade Center,Manhattan,1.0,261.0,1.0,10.96272321428572,38.641383928571415,1.5100446428571428,0.05357142857142857,0.7734375,2.2479017857142876,,0.29999999999999877,43.53504464285712,1.0,1.0,0.0
53,195,262,49,-28,-16,4,6,10,5,3,-13,0,1,6,1,262,Yorkville East,Manhattan,1.206896551724138,262.0,1.543103448275862,6.524453781512606,26.189131652661075,0.9110644257703081,0.18627450980392157,1.6583193277310928,1.5947899159663872,,0.2983193277310906,31.10386554621847,1.2672413793103448,1.043103448275862,0.7521551724137931
54,135,263,327,-164,-117,17,41,52,-62,28,16,-30,-15,36,-14,263,Yorkville West,Manhattan,1.0499519692603265,263.0,1.4438040345821326,31.44185202205884,19.320013786764807,0.7303538602941176,0.25944393382352937,1.432164522058825,0.6623483455882323,,0.29669117647058524,23.421029411764852,1.2987512007684918,1.0096061479346783,1.5201729106628241
