,xcoord_x,ycoord_x,xcoord_y,ycoord_y
0,935996.821,191376.7495,935996.821,191376.7495
1,988101.2213,189071.5791,935996.821,191376.7495
2,985567.1394,192774.4924,935996.821,191376.7495
3,997734.6452,232321.2905,935996.821,191376.7495
4,1000643.632,237395.8715,935996.821,191376.7495
5,993789.0097,224356.2122,935996.821,191376.7495
6,988108.3766,192606.9483,935996.821,191376.7495
7,988214.546,195128.6635,935996.821,191376.7495
8,1001595.167,231171.004,935996.821,191376.7495
9,999272.1114,227103.7596,935996.821,191376.7495
10,991215.6982,190949.6181,935996.821,191376.7495
11,986844.2854,184655.3745,935996.821,191376.7495
12,998496.7141,240584.4097,935996.821,191376.7495
13,1005874.084,251273.5487,935996.821,191376.7495
14,990855.5090000001,172661.4637,935996.821,191376.7495
15,1019348.5,221419.422,935996.821,191376.7495
16,994834.7873,234186.3269,935996.821,191376.7495
17,1008206.4859999999,185807.8688,935996.821,191376.7495
18,989405.7463,183512.2661,935996.821,191376.7495
19,1011501.4870000001,196698.544,935996.821,191376.7495
20,996155.3868,223613.7536,935996.821,191376.7495
21,1002830.588,251552.2287,935996.821,191376.7495
22,1000464.311,245939.8807,935996.821,191376.7495
23,1032417.7579999999,166735.0795,1033697.382,159266.0869
24,988101.2213,189071.5791,1033697.382,159266.0869
25,985567.1394,192774.4924,1033697.382,159266.0869
26,1012077.3879999999,171746.2521,1033697.382,159266.0869
27,985158.5343,189441.9872,1033697.382,159266.0869
28,988108.3766,192606.9483,1033697.382,159266.0869
29,988214.546,195128.6635,1033697.382,159266.0869
30,991215.6982,190949.6181,1033697.382,159266.0869
31,986844.2854,184655.3745,1033697.382,159266.0869
32,1042676.052,155778.3377,1033697.382,159266.0869
33,1004100.553,220388.74300000002,1033697.382,159266.0869
34,981704.0644,185397.13100000002,1033697.382,159266.0869
35,1026452.6170000001,254265.4787,1026452.6170000001,254265.4787
36,1006496.679,216719.2182,1026452.6170000001,254265.4787
37,975952.0351,166921.5504,1026452.6170000001,254265.4787
38,1014623.327,255416.7422,1026452.6170000001,254265.4787
39,1015821.8609999999,251810.3035,1026452.6170000001,254265.4787
40,993807.2717,231458.3761,1026452.6170000001,254265.4787
41,1010116.053,142998.0971,1026452.6170000001,254265.4787
42,1021618.218,254085.6841,1026452.6170000001,254265.4787
43,997734.6452,232321.2905,1026452.6170000001,254265.4787
44,1000643.632,237395.8715,1026452.6170000001,254265.4787
45,993789.0097,224356.2122,1026452.6170000001,254265.4787
46,1043522.308,252551.6181,1026452.6170000001,254265.4787
47,994687.7989,189923.6799,1026452.6170000001,254265.4787
48,1031744.9709999999,257736.0318,1026452.6170000001,254265.4787
49,1015824.072,243143.0578,1026452.6170000001,254265.4787
50,988108.3766,192606.9483,1026452.6170000001,254265.4787
51,1007764.0859999999,242196.0376,1026452.6170000001,254265.4787
52,1001595.167,231171.004,1026452.6170000001,254265.4787
53,999272.1114,227103.7596,1026452.6170000001,254265.4787
54,1013278.1290000001,182139.0473,1026452.6170000001,254265.4787
55,1015923.651,247139.9702,1026452.6170000001,254265.4787
56,1029422.42,260268.3765,1026452.6170000001,254265.4787
57,995082.8902,171682.8284,1026452.6170000001,254265.4787
58,1012040.665,251942.5717,1026452.6170000001,254265.4787
59,998496.7141,240584.4097,1026452.6170000001,254265.4787
60,1015935.022,235158.3269,1026452.6170000001,254265.4787
61,1005874.084,251273.5487,1026452.6170000001,254265.4787
62,1010274.32,254530.6508,1026452.6170000001,254265.4787
63,989365.0685,221132.7753,1026452.6170000001,254265.4787
64,1009034.686,258429.1415,1026452.6170000001,254265.4787
65,1008372.343,237403.2652,1026452.6170000001,254265.4787
66,991908.5896,214959.5816,1026452.6170000001,254265.4787
67,994834.7873,234186.3269,1026452.6170000001,254265.4787
68,1011274.103,240777.4505,1026452.6170000001,254265.4787
69,1007161.162,233489.9803,1026452.6170000001,254265.4787
70,1010498.897,248626.5007,1026452.6170000001,254265.4787
71,1017705.685,258865.7028,1026452.6170000001,254265.4787
72,1004100.553,220388.74300000002,1026452.6170000001,254265.4787
73,1023546.12,244523.6048,1026452.6170000001,254265.4787
74,1030844.6059999999,248698.6851,1026452.6170000001,254265.4787
