,xcoord_x,ycoord_x,xcoord_y,ycoord_y
0,935996.821,191376.7495,935996.821,191376.7495
1,998142.2061,191215.0684,935996.821,191376.7495
2,993807.2717,231458.3761,935996.821,191376.7495
3,988101.2213,189071.5791,935996.821,191376.7495
4,985567.1394,192774.4924,935996.821,191376.7495
5,985371.6109999999,186726.9442,935996.821,191376.7495
6,997734.6452,232321.2905,935996.821,191376.7495
7,1000643.632,237395.8715,935996.821,191376.7495
8,993789.0097,224356.2122,935996.821,191376.7495
9,994687.7989,189923.6799,935996.821,191376.7495
10,985158.5343,189441.9872,935996.821,191376.7495
11,1001091.0140000001,185009.7477,935996.821,191376.7495
12,988108.3766,192606.9483,935996.821,191376.7495
13,988214.546,195128.6635,935996.821,191376.7495
14,1001595.167,231171.004,935996.821,191376.7495
15,999272.1114,227103.7596,935996.821,191376.7495
16,991215.6982,190949.6181,935996.821,191376.7495
17,998235.9756,205059.6913,935996.821,191376.7495
18,998496.7141,240584.4097,935996.821,191376.7495
19,1005874.084,251273.5487,935996.821,191376.7495
20,1016021.9709999999,215206.6015,935996.821,191376.7495
21,997042.6288,237290.9068,935996.821,191376.7495
22,994834.7873,234186.3269,935996.821,191376.7495
23,1004100.553,220388.74300000002,935996.821,191376.7495
24,989405.7463,183512.2661,935996.821,191376.7495
25,993240.615,186158.9038,935996.821,191376.7495
26,1002830.588,251552.2287,935996.821,191376.7495
27,1000464.311,245939.8807,935996.821,191376.7495
28,996053.8033,201159.0334,935996.821,191376.7495
29,1026452.6170000001,254265.4787,1026452.6170000001,254265.4787
30,1006496.679,216719.2182,1026452.6170000001,254265.4787
31,1014623.327,255416.7422,1026452.6170000001,254265.4787
32,1015821.8609999999,251810.3035,1026452.6170000001,254265.4787
33,1010116.053,142998.0971,1026452.6170000001,254265.4787
34,1018696.401,251801.9134,1026452.6170000001,254265.4787
35,1021618.218,254085.6841,1026452.6170000001,254265.4787
36,1009147.2309999999,181203.3211,1026452.6170000001,254265.4787
37,1057581.886,192354.3753,1026452.6170000001,254265.4787
38,1012077.3879999999,171746.2521,1026452.6170000001,254265.4787
39,997734.6452,232321.2905,1026452.6170000001,254265.4787
40,1000643.632,237395.8715,1026452.6170000001,254265.4787
41,993789.0097,224356.2122,1026452.6170000001,254265.4787
42,984762.4693,198844.6361,1026452.6170000001,254265.4787
43,1043522.308,252551.6181,1026452.6170000001,254265.4787
44,1011831.01,246329.0443,1026452.6170000001,254265.4787
45,1031744.9709999999,257736.0318,1026452.6170000001,254265.4787
46,987599.1763,149479.2353,1026452.6170000001,254265.4787
47,1033945.797,245891.9543,1026452.6170000001,254265.4787
48,1007764.0859999999,242196.0376,1026452.6170000001,254265.4787
49,1001595.167,231171.004,1026452.6170000001,254265.4787
50,999272.1114,227103.7596,1026452.6170000001,254265.4787
51,1013278.1290000001,182139.0473,1026452.6170000001,254265.4787
52,1015923.651,247139.9702,1026452.6170000001,254265.4787
53,1029422.42,260268.3765,1026452.6170000001,254265.4787
54,995082.8902,171682.8284,1026452.6170000001,254265.4787
55,1012040.665,251942.5717,1026452.6170000001,254265.4787
56,998496.7141,240584.4097,1026452.6170000001,254265.4787
57,1004682.755,244528.8395,1026452.6170000001,254265.4787
58,1039005.197,204689.6275,1026452.6170000001,254265.4787
59,1015935.022,235158.3269,1026452.6170000001,254265.4787
60,1005874.084,251273.5487,1026452.6170000001,254265.4787
61,1041371.286,195964.2851,1026452.6170000001,254265.4787
62,1010274.32,254530.6508,1026452.6170000001,254265.4787
63,996787.6631,218166.4344,1026452.6170000001,254265.4787
64,1002305.9870000001,214074.2967,1026452.6170000001,254265.4787
65,1012217.1120000001,237923.2448,1026452.6170000001,254265.4787
66,986773.5461,201205.2649,1026452.6170000001,254265.4787
67,993063.3769,229997.6446,1026452.6170000001,254265.4787
68,1008372.343,237403.2652,1026452.6170000001,254265.4787
69,991908.5896,214959.5816,1026452.6170000001,254265.4787
70,988362.8334,212002.893,1026452.6170000001,254265.4787
71,994834.7873,234186.3269,1026452.6170000001,254265.4787
72,1011274.103,240777.4505,1026452.6170000001,254265.4787
73,1007161.162,233489.9803,1026452.6170000001,254265.4787
74,1010498.897,248626.5007,1026452.6170000001,254265.4787
75,990209.6001,211701.31600000002,1026452.6170000001,254265.4787
76,1022197.087,213491.2335,1026452.6170000001,254265.4787
